"","x"
"1",3.66011212671601
"2",3.41573114416929
"3",3.48959113140973
"4",3.38335146757822
"5",3.6424452207836
"6",3.46364774977085
"7",3.82155328400448
"8",3.48232532888128
"9",3.29621115919654
"10",3.88485617738615
"11",3.54797287236739
"12",3.83515874837578
"13",3.44119573502092
"14",3.70369246905376
"15",3.31157933232242
"16",3.43667950055327
"17",3.40455346905323
"18",3.63588360968628
"19",3.51805106258257
"20",3.55807084648238
"21",3.48956333795607
"22",3.89529875461492
"23",3.57276278973362
"24",3.71606872369538
"25",3.52168977197001
"26",3.27530681936074
"27",3.53157880801437
"28",3.5836931070162
"29",3.91854970465765
"30",3.44724110619751
"31",3.44874571145887
"32",3.58130790047281
"33",3.42847190820856
"34",3.60037091241809
"35",3.62111184638343
"36",3.87334359634711
"37",3.48089292884938
"38",3.57231354432913
"39",3.20290614160383
"40",3.44791053078218
"41",3.56020555530006
"42",3.78762276320266
"43",3.70061853550173
"44",3.40225680882119
"45",3.70893341320332
"46",3.35606001740208
"47",3.21845477780022
"48",3.43178389360333
"49",3.45684960558806
"50",3.65515313613891
"51",3.49140462776104
"52",3.39039034984069
"53",3.55544831566285
"54",3.75675658941004
"55",3.66788958190532
"56",3.75598132347846
"57",3.60770421751607
"58",3.69137191766522
"59",3.70124198502655
"60",3.63455134486604
"61",3.51442451614563
"62",3.69376278936841
"63",3.64987434638547
"64",3.43766542853261
"65",3.53542422263031
"66",3.62403011190554
"67",3.53482517781035
"68",3.64275190994544
"69",3.495588188043
"70",3.41379063225411
"71",3.59368346220838
"72",3.6570124365008
"73",3.75088285511092
"74",3.30113810904238
"75",3.69511732094757
"76",3.41764258988992
"77",3.6347867911675
"78",3.81648909064708
"79",3.68771254921918
"80",3.51108543366313
"81",3.78315340138076
"82",3.62056177585306
"83",3.54091933577667
"84",3.34812013122916
"85",3.53681792050218
"86",3.75564059567261
"87",3.69747654068867
"88",3.56757215528676
"89",3.65449192586348
"90",3.36357675017607
"91",3.76046954855185
"92",3.62403376122404
"93",3.68998004459917
"94",3.71012937838078
"95",3.65495645948582
"96",3.95746919753234
"97",3.55886374757676
"98",3.6354781614534
"99",4.0286523866839
"100",3.35649399700555
"101",3.62365508653723
"102",3.84760492023593
"103",3.47907456348585
"104",3.82567256125463
"105",3.529308355787
"106",3.18479819899861
"107",3.58813315708013
"108",3.30670212637457
"109",3.48893105079086
"110",3.33863306569979
"111",3.58613665083049
"112",3.54197270598507
"113",3.80156597199124
"114",3.66622788446264
"115",3.57562885010646
"116",3.61378494559196
"117",3.31274575848417
"118",3.61184873609168
"119",4.13803433055055
"120",3.69758371550878
"121",3.69600395182076
"122",3.52228594809414
"123",3.78085478820204
"124",3.38726731401352
"125",3.61884108092518
"126",3.34529780579979
"127",3.57352313754112
"128",3.51250673840523
"129",4.02439548196999
"130",3.55882479490914
"131",3.43152194103006
"132",3.54792701169931
"133",3.81023740695545
"134",3.24975568982855
"135",3.55405483583516
"136",3.40697421426363
"137",3.73841000761289
"138",3.2397822581237
"139",3.61516501854244
"140",3.56878432532094
"141",3.76526249186824
"142",3.66978595863026
"143",3.35198832263875
"144",3.68273311908385
"145",3.33322577029199
"146",3.60188077162683
"147",3.66203469887799
"148",3.54600260491613
"149",3.54758231080247
"150",3.87088363659731
"151",3.68469660087966
"152",3.38565939982429
"153",3.96099158581936
"154",3.85286606416512
"155",3.69926598051997
"156",3.64844658290249
"157",3.58016623256661
"158",3.78065691381487
"159",3.68856600376243
"160",3.55387874418627
"161",3.60084369937123
"162",3.68637392318467
"163",3.1464888978075
"164",3.66921879587737
"165",3.8152917266987
"166",3.61165325167963
"167",3.44215072303433
"168",3.4432437079654
"169",3.51756921345404
"170",3.36777785373556
"171",3.65600306715871
"172",3.38560126941683
"173",3.81359349424578
"174",3.73716925174977
"175",3.23247046188042
"176",3.48108903166114
"177",3.57693672262739
"178",3.43909293032198
"179",4.09482311848941
"180",3.698104165106
"181",3.61588871354079
"182",3.70380062376413
"183",3.25864291808991
"184",3.57504533541068
"185",3.49213658869618
"186",3.64949225650444
"187",3.56851675689765
"188",3.47558125495556
"189",3.48460910811465
"190",3.5134321698351
"191",3.43978015689827
"192",3.40812635262613
"193",4.1340607549487
"194",3.46286683581326
"195",3.40038936253186
"196",3.64483090423112
"197",3.48434519548752
"198",3.62232239151147
"199",3.43763719583848
"200",3.52170795070466
"201",3.40208377636994
"202",3.51372759582491
"203",3.48228341680788
"204",3.67394729504879
"205",3.36896967859736
"206",3.22868932665593
"207",3.1975724718595
"208",3.57446030718176
"209",3.59977980290153
"210",3.35751566489984
"211",3.6015239700358
"212",3.72002877680776
"213",3.52905042316698
"214",3.39271875055214
"215",3.72588242747367
"216",3.50293363943435
"217",3.8398791449722
"218",4.07979758082888
"219",3.62605331579122
"220",3.93925868580244
"221",3.86971646087758
"222",3.60895951045396
"223",3.42568141866011
"224",3.26708340890616
"225",3.5851474900797
"226",3.55924340671158
"227",3.51377635180259
"228",3.29712672908739
"229",3.77560699645405
"230",3.73016823546083
"231",3.79628787596848
"232",3.44319751922567
"233",3.56080287705673
"234",3.76281867282522
"235",3.3847433217077
"236",3.29498472898087
"237",3.40920119864191
"238",3.60006585462094
"239",3.72601202365043
"240",3.79314718757073
"241",3.49628696238794
"242",3.70852053705466
"243",3.93060998566973
"244",3.73032504217215
"245",3.56608767401662
"246",3.60698340394558
"247",3.82260054155082
"248",3.63043393428874
"249",3.78805891445109
"250",3.62293861728628
"251",3.51809602434093
"252",3.96085545679649
"253",3.65214447707139
"254",3.56745033082639
"255",3.57351889531738
"256",3.76978333254103
"257",3.47252025791274
"258",3.49095574317125
"259",3.41288586052738
"260",3.56514995084235
"261",3.69473082044457
"262",3.81923058166159
"263",3.27027402244036
"264",3.68880137036579
"265",3.54813175397922
"266",3.79549405874414
"267",3.24001902196447
"268",4.01922605999006
"269",3.49128532395779
"270",3.69695002409798
