,x,y,z
1,11.42104633,10.03202057,1.918791875
2,12.04996098,19.12142116,2.322403812
3,10.36114114,11.94667055,3.506693102
4,12.73619971,19.98414092,3.378992594
5,10.09745703,14.14721282,1.50866474
6,8.873145754,16.54585836,3.087207082
7,9.681453893,12.27681078,2.597413256
8,13.16427719,13.33638816,5.692072143
9,11.26879296,10.02460697,0.48331431
10,5.33422975,15.41685774,3.593026026
11,14.4947278,11.04607344,4.527894941
12,11.10947401,11.96289598,3.027615514
13,9.176833498,13.2153723,1.712110581
14,10.95258147,12.15646066,3.877039849
15,11.62009127,14.77525811,4.243197286
16,6.858602324,12.47395467,4.35042453
17,7.411379704,16.61772124,4.193575501
18,11.84313986,12.10783211,1.719043185
19,9.411083723,12.42677876,3.223797251
20,8.569751311,15.18923064,3.936057725
21,11.47443256,19.50725049,2.850909278
22,9.24220278,10.52950172,1.794297741
23,11.12211429,17.68061813,3.786793535
24,11.59127145,15.54499088,0.845522742
25,9.353892818,16.09052415,4.46772112
26,9.578390564,17.51236432,3.173232723
27,4.904376224,11.80329979,4.292321443
28,11.61655597,19.97878161,2.141006223
29,8.564829532,13.2328644,5.313919476
30,10.7460657,19.28165668,4.084268347
31,9.815659964,14.00089985,2.876334184
32,12.68702866,10.47248747,5.068320906
33,9.683161194,19.81384846,1.898544111
34,8.906011697,17.76614906,2.909953438
35,11.52429309,12.80552918,3.555331903
36,11.72575594,17.45774516,3.839844859
37,11.488795,11.13209662,2.347349774
38,9.301002528,12.24140267,2.456637808
39,13.44094727,15.49299838,3.78394255
40,9.695384683,12.61617106,3.46912807
41,10.54184301,14.70718254,4.803735328
42,12.76650015,15.01139172,4.093629513
43,11.70051182,14.38145028,3.846069872
44,11.37687153,15.93853012,2.130861782
45,12.63482958,12.23454825,3.41798469
46,5.298246159,13.3697143,3.367556757
47,10.76872583,12.91672005,4.356883634
48,10.87875824,11.23751137,1.782391353
49,11.37348358,11.65731913,3.479801367
50,10.06263008,10.91447524,4.779055963
51,12.106554,12.76798428,3.782253265
52,8.810650444,15.33679207,2.887052163
53,11.71790024,10.22025011,5.85759424
54,10.5878626,15.30338002,3.307776371
55,8.951823032,13.20784718,4.533138505
56,8.498575745,11.17330125,6.320000408
57,10.19280236,13.95286711,2.439347143
58,7.695397899,14.77529143,1.722296471
59,9.77183733,17.84815463,3.58692061
60,12.0381656,12.9115244,3.841892124
61,11.62669238,17.78275191,6.054695208
62,12.24058878,10.914794,4.990255765
63,11.91654715,18.35202317,3.109569908
64,10.80899815,18.57466541,3.253562514
65,7.788740598,12.24261924,3.114726971
66,11.37197974,12.21426045,4.40857901
67,13.84747532,10.8683779,3.088262233
68,9.352993485,13.85397798,3.189808769
69,6.937973871,19.59501438,7.176471187
70,9.694361346,15.09372927,3.158583483
71,6.393566623,18.87303165,2.341678865
72,13.82981046,16.94100591,5.090584099
73,9.510877559,11.30701744,1.483788522
74,9.895622751,16.99343866,0.665645896
75,14.52068208,12.72127088,2.896205693
76,13.27748546,15.53884007,6.120663311
77,10.86447089,15.06580592,4.862184279
78,9.946350537,13.69838869,4.487044363
79,4.936213381,17.71994874,3.954199909
80,7.353457097,19.97020606,5.329241685
81,12.65345074,11.892092,5.633861517
82,11.00388735,16.16875888,4.252242756
83,13.00041916,11.24070185,3.917356213
84,11.63952165,18.78728977,5.215231225
85,11.68663763,14.64860456,3.906436864
86,12.62500038,10.02743839,2.382289159
87,10.38876842,10.62128216,3.200986906
88,9.227652664,14.04550961,1.0192213
89,6.749328275,17.36854117,1.043671822
90,10.21193928,14.15303353,2.9717676
91,11.28463493,11.14334076,6.358190266
92,7.040114658,17.34730917,1.543857349
93,13.03355311,17.06948044,1.32943733
94,9.798982494,14.91318066,4.018313816
95,8.936179662,17.93467094,2.610342417
96,11.76715992,19.28086922,2.131121909
97,11.71938934,13.25284348,2.276587179
98,10.84795173,12.43102639,4.629548059
99,9.067118775,13.59748024,2.038182736
100,7.724414634,10.26257712,2.979099692
101,11.07617028,17.83217547,3.588688271
102,11.86673421,17.2196976,4.409018998
103,8.834353583,19.42605692,4.377866958
104,7.416362451,12.35576104,3.920487697
105,9.632008924,12.70107198,3.370907519
106,8.918013189,18.56514961,4.634048354
107,11.23715441,11.00338608,4.387084603
108,8.494833532,18.96230106,-0.435890117
109,7.621213379,15.60051006,3.709196211
110,5.838996,11.22128421,4.212873906
111,12.38518878,11.25276664,3.5236834
112,8.118532371,11.46161735,2.835150744
113,11.26734681,18.0486782,2.281225687
114,11.25754665,19.79723123,3.757322956
115,10.47978138,10.13584987,4.410003584
116,10.21768376,12.48298027,4.231442222
117,8.325402022,16.75924345,4.400112531
118,10.2803872,19.07772398,1.111353556
119,11.17126889,18.37201369,4.321409968
120,12.02407429,13.48490006,2.946436034
121,10.50207215,12.88158489,0.13938469
122,11.01097845,11.98152205,3.846405543
123,9.934983046,12.44050372,3.351405973
124,11.35643715,11.39764468,3.267831088
125,8.727143717,14.81103271,2.794648398
126,10.03145045,16.69006912,3.713678655
127,8.615099597,19.4766246,5.756359652
128,8.426435229,16.74684974,3.959091473
129,9.888303788,16.71905625,3.795824403
130,8.312054472,14.82919859,1.606400884
131,5.878720707,15.52233434,4.258101216
132,10.54180941,16.48682757,3.181887132
133,13.2523778,10.64497725,3.23250063
134,12.13156636,18.34185909,4.968370508
135,11.3027499,19.8912594,2.63761942
136,8.848397824,14.38777629,1.763077069
137,11.02763237,18.55105051,1.04790152
138,11.43262327,17.38391861,0.765450996
139,8.903200325,12.85054117,3.780647092
140,6.182362299,16.92989514,2.279284221
141,7.844623538,16.96977065,2.40839764
142,6.73718805,10.54969945,2.828614786
143,10.64391695,18.48672021,4.680527695
144,11.40886764,10.74630325,5.041473712
145,12.26556247,16.75208564,1.258853924
146,7.639377591,13.81337353,3.210199543
147,11.96486536,11.97664816,5.093175126
148,9.21930984,12.6836074,1.154710776
149,7.349134682,14.51446912,2.377770562
150,7.186924084,16.19203814,5.270086267
151,10.76491316,15.81864874,2.431062475
152,8.465317937,12.25490442,3.415447963
153,10.28461657,10.52336236,3.019212236
154,8.368818023,18.78471896,5.484888387
155,9.639433751,15.64462261,4.416923251
156,8.704790704,13.05554776,0.495215341
157,15.64711044,15.37037843,3.144582412
158,10.57851651,18.01375929,4.979370131
159,9.340863558,11.95745027,1.123823306
160,9.943465486,15.9974137,1.990930833
161,11.75107223,18.06622382,3.921347848
162,8.320158037,11.75929778,1.679920374
163,8.678880231,15.55870524,1.29197443
164,9.317160728,19.12999345,5.872333828
165,9.838530821,12.40109256,4.948060736
