"","research","marketing","morale","sales"
"1",760,629,3.34,9599
"2",708,688,3.98,11457
"3",768,629,3.41,9602
"4",1057,664,3.84,10690
"5",1108,660,3.02,10575
"6",1014,634,3.1,9739
"7",1114,717,3.69,12419
"8",1141,747,3.45,13502
"9",902,677,4.06,11037
"10",961,741,3.76,13302
"11",1100,794,3.76,15256
"12",1267,927,3.64,20751
"13",1331,993,3.68,23700
"14",1327,985,4.05,23458
"15",1365,1104,3.9,29405
"16",1488,1179,3.98,33451
"17",1268,1432,3.73,49282
"18",1280,1604,4.12,61787
"19",1468,1707,4,69907
"20",1547,1843,3.51,81513
"21",1606,1867,3.89,83644
"22",1648,1881,3.79,84865
"23",1550,1973,3.52,93493
"24",1282,1929,3.37,89399
"25",1137,1881,3.84,84952
"26",1320,1890,3.9,85798
"27",1440,1923,3.67,88892
"28",1556,1845,4.12,81877
"29",1557,1753,4.04,73906
"30",1445,1703,4.11,70003
"31",1370,1694,4.16,69113
"32",1303,1715,3.6,70778
"33",1299,1595,3.81,61554
"34",1314,1514,4.08,55370
"35",1349,1676,4.12,67376
"36",1434,1760,3.77,74426
"37",1413,1822,3.96,79594
"38",1371,1835,4,80694
"39",1201,1844,4.21,81649
"40",1289,2010,4.1,97149
"41",1290,2202,3.6,116161
"42",1301,2307,3.84,127518
"43",1239,2227,3.84,118958
"44",1158,2149,4.17,110911
"45",1232,2250,4.12,121490
"46",1223,2360,3.83,133578
"47",1225,2266,4.49,123293
"48",1200,2235,3.86,120081
"49",1080,2265,4.02,123154
"50",1216,2286,4.27,125401
"51",1402,2440,4.14,143097
"52",1520,2447,4.07,143623
"53",1641,2359,3.93,133476
"54",1710,2505,3.89,150537
"55",1647,2732,4.27,179342
"56",1643,2798,4.14,188366
"57",1587,2793,4.25,187195
"58",1573,2821,4.4,191281
"59",1637,2851,4.25,195326
"60",1797,2671,3.92,171188
"61",1922,2541,4.52,154832
"62",1889,2508,4.49,150965
"63",1779,2528,3.97,153571
"64",1975,2592,4.24,161445
"65",1916,2519,4.06,151951
"66",1949,2385,4.02,136351
"67",1957,2620,4.34,164798
"68",1977,2615,4.66,163764
"69",1975,2620,4.08,164882
"70",2018,2583,4.64,160193
"71",2090,2590,4.27,160634
"72",2010,2697,4.28,174805
"73",1908,2928,4.28,206448
"74",1833,3179,4.31,243486
"75",1810,3246,4.28,253056
"76",1849,3143,4.2,237020
"77",1947,3126,4.16,234517
"78",2024,3032,4.1,220880
"79",2177,2925,4.36,206217
"80",2310,2997,4.68,216613
"81",2435,3116,4.54,232555
"82",2533,3197,4.21,245480
"83",2401,3230,4.24,250726
"84",2231,3150,4.28,238747
"85",2231,3034,4.32,220899
"86",2028,3251,4.61,254078
"87",2007,3365,4.35,272084
"88",2010,3338,4.45,267839
"89",1813,3312,4.58,263376
"90",1764,3136,4.35,235272
"91",1879,3156,4.42,239827
"92",1879,3347,4.56,269051
"93",1915,3451,4.51,286833
"94",1763,3443,4.29,284589
"95",1738,3369,4.9,272752
"96",1856,3272,4.32,256583
"97",1784,3376,4.45,273436
"98",1881,3300,4.5,261828
"99",2123,3345,4.68,268724
"100",2175,3272,4.43,255943
"101",2075,3225,4.38,249595
"102",1985,3272,4.46,257502
"103",1859,3276,4.74,258484
"104",1732,3057,4.27,224416
"105",1733,2985,4.89,213904
"106",1850,3040,4.67,222030
"107",1879,3097,4.63,230677
"108",1829,2996,4.39,215354
"109",1516,2960,4.69,210483
"110",1362,3050,4.59,224473
"111",1312,3175,4.4,242730
"112",1299,3196,4.71,244404
"113",1542,3228,4.53,250399
"114",1762,3261,4.55,255424
"115",1726,3583,4.83,309049
"116",1676,3654,4.49,321653
"117",1472,3669,4.79,323930
"118",1365,3744,4.88,335828
"119",1393,3801,4.71,347051
"120",1496,4010,4.65,386735
"121",1574,4114,5.15,406470
"122",1785,4066,4.77,397156
"123",1893,3926,4.99,369798
"124",2074,4097,4.64,402508
